timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/07 20:52:42.987, 3, 432.93 W, 38, 2070 MHz, 3996 MHz, 99 %, 21 %
2026/06/07 20:52:43.987, 0, 441.74 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:43.987, 1, 443.34 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:43.987, 2, 437.22 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:43.987, 3, 437.13 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:44.987, 0, 440.08 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:44.987, 1, 437.40 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:44.987, 2, 433.09 W, 38, 2070 MHz, 3996 MHz, 99 %, 21 %
2026/06/07 20:52:44.987, 3, 431.40 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:45.987, 0, 445.10 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:45.987, 1, 441.54 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:45.987, 2, 437.19 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:45.987, 3, 436.40 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:46.987, 0, 443.40 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:46.988, 1, 439.60 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:46.988, 2, 435.13 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:46.988, 3, 435.56 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:47.988, 0, 444.74 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:47.988, 1, 442.18 W, 38, 2070 MHz, 3996 MHz, 99 %, 21 %
2026/06/07 20:52:47.988, 2, 437.42 W, 38, 2070 MHz, 3996 MHz, 99 %, 21 %
2026/06/07 20:52:47.988, 3, 436.58 W, 38, 2070 MHz, 3996 MHz, 99 %, 22 %
2026/06/07 20:52:48.988, 0, 442.55 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:48.988, 1, 438.26 W, 38, 2070 MHz, 3996 MHz, 99 %, 22 %
2026/06/07 20:52:48.988, 2, 435.96 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:48.988, 3, 435.53 W, 38, 2070 MHz, 3996 MHz, 99 %, 21 %
2026/06/07 20:52:49.988, 0, 444.07 W, 38, 2070 MHz, 3996 MHz, 99 %, 22 %
2026/06/07 20:52:49.988, 1, 441.29 W, 38, 2070 MHz, 3996 MHz, 99 %, 21 %
2026/06/07 20:52:49.988, 2, 437.27 W, 38, 2070 MHz, 3996 MHz, 99 %, 22 %
2026/06/07 20:52:49.988, 3, 439.84 W, 38, 2070 MHz, 3996 MHz, 99 %, 21 %
2026/06/07 20:52:50.988, 0, 448.62 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:50.989, 1, 443.47 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:50.989, 2, 440.22 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:50.989, 3, 439.76 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:51.989, 0, 446.23 W, 38, 2070 MHz, 3996 MHz, 99 %, 21 %
2026/06/07 20:52:51.989, 1, 443.71 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:51.989, 2, 439.00 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:51.989, 3, 440.08 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:52.989, 0, 445.52 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:52.989, 1, 441.26 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:52.989, 2, 439.13 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:52.989, 3, 437.90 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:53.989, 0, 472.48 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:53.989, 1, 468.80 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:53.989, 2, 463.24 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:53.989, 3, 462.52 W, 39, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:54.989, 0, 386.13 W, 36, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:54.990, 1, 382.05 W, 36, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:54.990, 2, 374.66 W, 36, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:52:54.990, 3, 371.67 W, 36, 2070 MHz, 3996 MHz, 0 %, 0 %
