timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/07 23:09:46.942, 1, 519.01 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:46.942, 2, 513.40 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:46.942, 3, 514.90 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:47.942, 0, 524.33 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:47.943, 1, 522.92 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:47.943, 2, 515.95 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:47.943, 3, 513.67 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:48.943, 0, 524.95 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:48.943, 1, 519.88 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:48.943, 2, 515.63 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:48.943, 3, 515.28 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:49.943, 0, 525.41 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:49.943, 1, 518.76 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:49.943, 2, 513.67 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:49.943, 3, 513.82 W, 40, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 23:09:50.943, 0, 526.23 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:50.943, 1, 526.59 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:50.943, 2, 516.33 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
