timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/07 23:17:30.843, 3, 552.41 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:31.843, 0, 559.09 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:31.843, 1, 557.90 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:31.844, 2, 555.01 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:31.844, 3, 555.61 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:32.844, 0, 558.68 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:32.844, 1, 564.62 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:32.844, 2, 554.69 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:32.844, 3, 555.50 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:33.844, 0, 556.79 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:33.844, 1, 562.26 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:33.844, 2, 553.16 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:33.844, 3, 554.50 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:34.844, 0, 558.27 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:34.844, 1, 565.84 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:34.844, 2, 554.06 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:34.844, 3, 557.31 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:35.844, 0, 539.61 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:35.844, 1, 541.44 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:35.844, 2, 535.48 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:35.844, 3, 533.88 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:36.845, 0, 559.61 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:36.845, 1, 561.66 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:36.845, 2, 556.64 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:36.845, 3, 558.38 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:37.845, 0, 557.60 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:37.845, 1, 561.86 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:37.845, 2, 554.11 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:37.845, 3, 555.08 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:38.845, 0, 559.37 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:38.845, 1, 563.47 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:38.845, 2, 555.76 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:38.845, 3, 557.35 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:39.845, 0, 558.14 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:39.845, 1, 560.65 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:39.845, 2, 553.52 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:39.845, 3, 554.54 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:40.845, 0, 560.05 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:40.846, 1, 562.02 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:40.846, 2, 554.80 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:40.846, 3, 556.80 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:41.846, 0, 561.01 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:41.846, 1, 562.49 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:41.846, 2, 554.41 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:41.846, 3, 557.30 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:42.846, 0, 561.21 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:42.846, 1, 564.83 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:42.846, 2, 556.40 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:42.846, 3, 557.49 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:43.846, 0, 561.54 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:43.846, 1, 565.12 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:43.846, 2, 556.13 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:43.846, 3, 558.84 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:44.846, 0, 561.44 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:44.847, 1, 565.32 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:44.847, 2, 558.66 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:44.847, 3, 559.53 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:45.847, 0, 561.72 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:45.847, 1, 566.49 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:45.847, 2, 558.67 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:45.847, 3, 558.61 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:46.847, 0, 561.27 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:46.847, 1, 563.26 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:46.847, 2, 555.38 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:46.847, 3, 558.09 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:47.847, 0, 561.09 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:47.847, 1, 564.32 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:47.847, 2, 558.15 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:47.847, 3, 557.64 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:48.847, 0, 559.77 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:48.847, 1, 563.15 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:48.847, 2, 555.55 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:48.847, 3, 555.91 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:49.848, 0, 561.34 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:49.848, 1, 565.52 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:49.848, 2, 557.40 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:49.848, 3, 559.23 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:50.848, 0, 563.33 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:50.848, 1, 566.64 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:50.848, 2, 559.22 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:50.848, 3, 560.77 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:51.848, 0, 563.82 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:51.848, 1, 568.18 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:51.848, 2, 560.38 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:51.848, 3, 561.63 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:52.848, 0, 562.41 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:52.848, 1, 565.23 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:52.848, 2, 559.08 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:52.849, 3, 559.15 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:53.849, 0, 560.70 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:53.849, 1, 564.50 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:53.849, 2, 557.65 W, 41, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:53.849, 3, 559.18 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:54.849, 0, 547.31 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:54.849, 1, 551.19 W, 39, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:54.849, 2, 539.85 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:54.849, 3, 544.89 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:55.849, 0, 553.42 W, 43, 2070 MHz, 3996 MHz, 50 %, 22 %
2026/06/07 23:17:55.849, 1, 604.97 W, 43, 2070 MHz, 3996 MHz, 89 %, 24 %
2026/06/07 23:17:55.849, 2, 579.31 W, 44, 2070 MHz, 3996 MHz, 83 %, 30 %
2026/06/07 23:17:55.849, 3, 543.34 W, 40, 2070 MHz, 3996 MHz, 91 %, 36 %
2026/06/07 23:17:56.849, 0, 575.68 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:56.849, 1, 567.95 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:56.849, 2, 570.32 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:56.849, 3, 547.55 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:57.849, 0, 561.04 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:57.850, 1, 601.99 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:57.850, 2, 588.52 W, 41, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:57.850, 3, 533.24 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
